in,ou
create a user <username>, sudo useradd <username>
create a user with home directory <username>, sudo useradd -m <username>
create a user <username> with home directory, sudo useradd -m <username>
add a user <username> to system, sudo useradd <username>
create a user <username> and set the shell to <shell>, sudo useradd -s <shell> <username>
create user <username> with shell <shell>, sudo useradd -s <shell> <username>
add user <username> and assign shell <shell>, sudo useradd -s <shell> <username>
create user <username> with a specific group <groupname>, sudo useradd -g <groupname> <username>
create user <username> with group <groupname>, sudo useradd -g <groupname> <username>
create user <username> and set group to <groupname>, sudo useradd -g <groupname> <username>
create user <username> with additional groups <groupnames>, sudo useradd -G <groupnames> <username>
create user <username> and add to groups <groupnames>, sudo useradd -G <groupnames> <username>
create user <username> and assign groups <groupnames>, sudo useradd -G <groupnames> <username>
create user <username> and set uid to <uid>, sudo useradd -u <uid> <username>
create user <username> with uid <uid>, sudo useradd -u <uid> <username>
add user <username> with specific uid <uid>, sudo useradd -u <uid> <username>
create a user <username> with expiry date <expiredate>, sudo useradd -e <expiredate> <username>
create user <username> with an expiry date <expiredate>, sudo useradd -e <expiredate> <username>
create user <username> with account expiry <expiredate>, sudo useradd -e <expiredate> <username>
create user <username> and make a home directory at <dir>, sudo useradd -d <dir> <username>
create user <username> with custom home directory <dir>, sudo useradd -d <dir> <username>
create user <username> with home directory in <dir>, sudo useradd -d <dir> <username>
create user <username> with password <password>, sudo useradd -p <password> <username>
create user <username> with a predefined password <password>, sudo useradd -p <password> <username>
add user <username> and set password <password>, sudo useradd -p <password> <username>
create user <username> without a group, sudo useradd -N <username>
create user <username> without user group, sudo useradd -N <username>
add user <username> without creating a group, sudo useradd -N <username>
create a user <username> and no home directory, sudo useradd -M <username>
create user <username> and don't create home directory, sudo useradd -M <username>
add user <username> without home directory, sudo useradd -M <username>
create user <username> and do not create a system group, sudo useradd -N -M <username>
create user <username> and disable users login shell, sudo useradd -s /bin/false <username>
create user <username> and set shell to /bin/false, sudo useradd -s /bin/false <username>
add user <username> with no login shell, sudo useradd -s /bin/false <username>
create user <username> and specify a base directory <basedir>, sudo useradd -b <basedir> <username>
create user <username> with a base directory <basedir>, sudo useradd -b <basedir> <username>
create user <username> in the base directory <basedir>, sudo useradd -b <basedir> <username>
create user <username> and assign a specific selinux user <seuser>, sudo useradd -Z <seuser> <username>
create user <username> with selinux user <seuser>, sudo useradd -Z <seuser> <username>
add user <username> and assign selinux user <seuser>, sudo useradd -Z <seuser> <username>
create user <username> and create a new group with the same name, sudo useradd -U <username>
create user <username> and make a group with the same name, sudo useradd -U <username>
add user <username> and create a user group with same name, sudo useradd -U <username>
